"                   ","YTD"," ","YTD"," ","YTD"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"State                   ","2016"," ","2015"," ","2014"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"New Mexico","126661","  ","121279","  ","121820","  ","11333","  ","10635","  ","11702","  ","12381","  ","11184","  ","10541","  ","11399","  ","13140","  ","15153","  ","19193","  ","154224","  ","18841","  ","14104","  ","10676","  ","10137","  ","12154","  ","11297","  ","10533","  ","8933","  ","10762","  ","13356","  ","15127","  ","18302","  ","154286","  ","17943","  ","14523","  ","9447","  ","9044","  ","12272","  ","11320","  ","11061","  ","11055","  ","11696","  ","13886","  ","14119","  ","17919","  ",
"New York","1040235","  ","1115455","  ","1058418","  ","79099","  ","76147","  ","96741","R","92474","R","78577","R","84948","R","102022","R","118106","R","146947","R","165176","R","1326168","  ","111673","  ","99041","  ","86215","  ","79161","  ","85884","  ","84705","  ","72085","  ","78894","  ","95756","  ","165819","  ","181039","  ","185897","  ","1319208","  ","144317","  ","116473","  ","76064","  ","74935","  ","76195","  ","80454","  ","75655","  ","82722","  ","100389","  ","158384","  ","162047","  ","171572","  ",
"North Carolina","424626","  ","408402","  ","355527","  ","32404","  ","35848","  ","42364","  ","40567","  ","35425","  ","34982","  ","39758","  ","46885","  ","55929","  ","60463","  ","493801","  ","42774","  ","42625","  ","35105","  ","35545","  ","36713","  ","37315","  ","38201","  ","35765","  ","33993","  ","41817","  ","56931","  ","57019","  ","448887","  ","50695","  ","42666","  ","27029","  ","31670","  ","32377","  ","32850","  ","32597","  ","29393","  ","30764","  ","43371","  ","37489","  ","57988","  ",
"North Dakota","49103","  ","46553","  ","44462","  ","5321","  ","4264","  ","3839","  ","3828","  ","4157","  ","4325","  ","3917","  ","5648","  ","6183","  ","7621","  ","58201","  ","6170","  ","5478","  ","4432","  ","3657","  ","3529","  ","2971","  ","3307","  ","4064","  ","4298","  ","5925","  ","7170","  ","7202","  ","56155","  ","6058","  ","5634","  ","3706","  ","2273","  ","2597","  ","3282","  ","3291","  ","3752","  ","4801","  ","6371","  ","6957","  ","7432","  ",
"Ohio","708023","  ","778186","  ","783074","  ","54891","  ","47386","  ","52026","  ","50536","  ","46353","  ","50174","  ","73089","  ","85084","  ","114448","  ","134036","  ","938930","  ","87546","  ","73198","  ","55280","  ","45637","  ","48179","  ","49618","  ","48997","  ","51954","  ","71113","  ","120132","  ","144972","  ","142304","  ","982761","  ","113809","  ","85878","  ","55400","  ","51544","  ","51836","  ","49105","  ","48707","  ","51914","  ","66714","  ","119747","  ","133039","  ","155070","  ",
"Oklahoma","461535","  ","438060","  ","429336","  ","37358","  ","42446","  ","48075","  ","52142","  ","50148","  ","44123","  ","41309","  ","42369","  ","44391","  ","59173","  ","541224","  ","55974","  ","47190","  ","36076","  ","38004","  ","44220","  ","45431","  ","37815","  ","36946","  ","37119","  ","46576","  ","56199","  ","59672","  ","508012","  ","46279","  ","32398","  ","30587","  ","32928","  ","43991","  ","37271","  ","34202","  ","34344","  ","46444","  ","49138","  ","60204","  ","60226","  ",
"Oregon","186493","  ","178788","  ","168758","  ","17454","  ","19947","  ","20429","  ","16712","  ","14447","  ","12866","  ","13502","  ","21222","  ","22608","  ","27307","  ","232158","  ","28039","  ","25331","  ","18420","  ","18235","  ","17542","  ","17829","  ","16730","  ","15976","  ","18469","  ","16821","  ","15236","  ","23530","  ","216348","  ","24230","  ","23359","  ","17787","  ","17293","  ","16713","  ","14062","  ","9336","  ","9968","  ","12453","  ","15385","  ","26368","  ","29393","  ",
"Pennsylvania","0","NA","886314","  ","832697","  ","0","NA","75530","  ","87472","  ","85572","  ","76409","  ","72085","  ","82470","  ","95541","  ","117669","  ","133177","  ","1068687","  ","95829","  ","86544","  ","78652","  ","67108","  ","73702","  ","74612","  ","66802","  ","63923","  ","79513","  ","117862","  ","131484","  ","132655","  ","1039914","  ","115593","  ","91624","  ","75511","  ","64632","  ","66180","  ","67797","  ","63427","  ","62318","  ","69388","  ","112282","  ","117297","  ","133865","  ",
"Rhode Island","69098","  ","76302","  ","71275","  ","5182","  ","5797","  ","6775","  ","7030","  ","5993","  ","7025","  ","6203","  ","8516","  ","7975","  ","8602","  ","90891","  ","6915","  ","7674","  ","6249","  ","4840","  ","8375","  ","8259","  ","7616","  ","7400","  ","5628","  ","9189","  ","9181","  ","9567","  ","85866","  ","7963","  ","6628","  ","5752","  ","6713","  ","7102","  ","7257","  ","6480","  ","5308","  ","8264","  ","7459","  ","7645","  ","9294","  ",
"South Carolina","222116","  ","220419","  ","186011","  ","20424","  ","22445","  ","23406","  ","24087","  ","20940","  ","19651","  ","17497","  ","21565","  ","23829","  ","28273","  ","270601","  ","24390","  ","25792","  ","22864","  ","20308","  ","22307","  ","23409","  ","22960","  ","18946","  ","19258","  ","21226","  ","23878","  ","25264","  ","228116","  ","21731","  ","20374","  ","16056","  ","15117","  ","17702","  ","18639","  ","16833","  ","17883","  ","17840","  ","21426","  ","18784","  ","25732","  ",
