BLDGID2  ,STR402   ,PAIR402  ,SQFTC2   ,BCWM2C   ,YRCONC2C ,REGION2  ,XSECWT2  ,ELSUPL2N ,NGSUPL2N ,FKSUPL2N ,STSUPL2N ,PRSUPL2N ,SQFT1T   ,SQFTC1T  ,HEATP1T  ,COOLP1T  ,ELUSED1T ,NGUSED1T ,FKUSED1T ,STUSED1T ,CWUSED1T ,COUSED1T ,PRUSED1T ,HWUSED1T ,WOUSED1T ,SOUSED1T ,NFLOOR1T ,YRCON1T  ,YRCONC1T ,BCWM1T   ,GLASP1T  ,GLASPC1T ,GLASS1T  ,NTANKS1T ,TOTCAP1T ,IMPSF1T  ,IMPNOF1T ,IMPYR1T  ,IMPYRC1T ,IMPPG1T  ,IMPPGC1T ,IMPNFT1T ,IMPCAP1T ,LONGWT2  
00051 ,35 ,2 ,02 ,15 ,07 ,2 ,1133.18 ,1 ,2 ,2 ,2 ,2 ,2450 ,02 ,0 ,0 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,1977 ,07 ,15 ,2 ,4 ,2 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1133.18
00052 ,08 ,1 ,01 ,16 ,07 ,3 ,1500 ,1 ,2 ,2 ,2 ,2 ,300 ,01 ,0 ,0 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,1979 ,07 ,16 ,2 ,4 ,2 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1500
00053 ,22 ,1 ,05 ,17 ,03 ,4 ,150 ,1 ,1 ,2 ,2 ,2 ,25500 ,05 ,75 ,75 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,4 ,1922 ,03 ,11 ,2 ,3 ,2 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,150
00054 ,35 ,1 ,03 ,07 ,05 ,2 ,475.9 ,1 ,1 ,2 ,2 ,2 ,5400 ,03 ,65 ,65 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,1967 ,05 ,07 ,2 ,3 ,1 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,502.64
00055 ,37 ,2 ,04 ,02 ,03 ,2 ,1297.61 ,1 ,1 ,2 ,2 ,2 ,17000 ,04 ,100 ,4 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,4 ,1923 ,03 ,02 ,2 ,3 ,2 ,0 ,  ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1388.38
00056 ,32 ,1 ,03 ,09 ,07 ,3 ,1500 ,1 ,2 ,2 ,2 ,2 ,8100 ,03 ,100 ,100 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,2 ,2 ,1975 ,07 ,09 ,2 ,3 ,2 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1500
00057 ,16 ,1 ,07 ,09 ,08 ,4 ,25.9 ,1 ,1 ,2 ,2 ,2 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0
00058 ,22 ,2 ,08 ,11 ,08 ,4 ,7.86 ,1 ,2 ,2 ,2 ,2 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0
00059 ,15 ,2 ,05 ,05 ,08 ,1 ,99.54 ,1 ,1 ,2 ,2 ,2 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0
00060 ,02 ,1 ,07 ,03 ,04 ,3 ,400 ,1 ,2 ,1 ,2 ,1 ,114000 ,07 ,95 ,10 ,1 ,2 ,1 ,2 ,2 ,2 ,1 ,2 ,2 ,2 ,2 ,1958 ,04 ,03 ,1 ,2 ,1 ,2 ,6500 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,400
00061 ,27 ,2 ,05 ,11 ,08 ,3 ,24.53 ,1 ,2 ,2 ,2 ,2 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0
00062 ,17 ,1 ,04 ,04 ,03 ,1 ,1288.38 ,1 ,1 ,2 ,2 ,2 ,10250 ,04 ,100 ,100 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,4 ,1924 ,03 ,04 ,2 ,4 ,2 ,0 ,  ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1288.38
00063 ,16 ,2 ,02 ,15 ,05 ,4 ,1500 ,1 ,1 ,2 ,2 ,2 ,1300 ,02 ,0 ,0 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,1968 ,05 ,15 ,2 ,4 ,2 ,0 ,  ,2 ,2 ,1 ,1 ,2 ,2 ,2 ,2 ,1500
00064 ,27 ,1 ,05 ,15 ,08 ,3 ,65.78 ,1 ,1 ,2 ,2 ,2 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0
00065 ,32 ,1 ,07 ,11 ,08 ,3 ,19.33 ,1 ,2 ,2 ,2 ,2 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0
00066 ,15 ,1 ,06 ,03 ,03 ,1 ,200 ,1 ,1 ,2 ,2 ,2 ,57000 ,06 ,100 ,0 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,3 ,1925 ,03 ,03 ,2 ,3 ,2 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,390.12
00067 ,24 ,1 ,08 ,11 ,03 ,2 ,12 ,1 ,1 ,2 ,2 ,2 ,240000 ,08 ,100 ,25 ,1 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,4 ,1922 ,03 ,11 ,2 ,4 ,1 ,1 ,6000 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,12.46
00068 ,29 ,1 ,07 ,02 ,02 ,2 ,100 ,1 ,1 ,2 ,1 ,2 ,39000 ,05 ,100 ,5 ,1 ,1 ,2 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,9 ,1917 ,02 ,02 ,1 ,2 ,2 ,0 ,  ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,103.86
00069 ,01 ,2 ,04 ,09 ,06 ,4 ,104.87 ,1 ,1 ,2 ,2 ,2 ,16750 ,04 ,100 ,100 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,1973 ,06 ,09 ,2 ,4 ,2 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,104.87
