"Table 50.  Year-to-Date Exports of Crude Oil and Petroleum Products by Destination, January-September 2005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Destination,,,Crude Oila,,Liquefied Petroleum Gases,Unfinished Oils,Finished Motor Gasoline,,,Motor Gasoline Blend. Comp.,,,Oxygenates,,,Distillate Fuel Oil,,,,,Kerosene,Finished Aviation Gasoline,Aviation Gasoline Blend. Comp.,Kerosene-Type Jet Fuel,Special Naphthas,Residual Fuel Oil,Petrochemical Feedstocks,,Waxes,"Petroleum
 Coke",Asphalt and Road Oil,Lubricants,Misc. Products,Total Products,Total Crude Oil and Products,Daily Average,,
,,,,Pentanes Plus,,,Reformulated,Conventional,Total,Reform-ulated ,Conven-tional,Total,Fuel Ethanol (FE),Methyl Tertiary Butyl Ether (MTBE),Other Oxygen-ates,15 ppm sulfur and under,Greater than 15 ppm to 500 ppm sulfur,501 to 2000 ppm,Greater than 2000 ppm,Total,,,,,,,Naphtha,Other Oils,,,,,,,,Crude Oil,Products,Total
,Spain,,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,3,"1,339",0,0,1,"8,428",0,41,0,"9,828","9,828",0,36,36
,Switzerland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,642,0,2,0,646,646,0,2,2
,Taiwan,,0,0,56,0,0,0,0,0,2,2,0,0,2,0,3,0,0,3,9,0,0,0,1,2,0,0,2,59,6,57,2,200,200,0,1,1
,Thailand,,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,949,7,48,1,"1,013","1,013",0,4,4
,Trinidad and Tobago,,0,0,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,21,1,37,37,0,0,0
,Turkey,,0,1,0,0,0,30,30,0,0,0,0,0,3,0,0,550,0,550,0,0,0,0,2,0,0,0,1,"2,209",0,28,0,"2,824","2,824",0,10,10
,United Arab Emirates,,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,19,8,0,0,0,0,540,2,23,0,596,596,0,2,2
,United Kingdom,,0,0,14,0,7,6,13,0,0,0,0,58,4,0,34,0,0,34,1,0,0,"4,569",0,5,0,0,4,"1,922",8,99,13,"6,746","6,746",0,25,25
,Venezuela,,0,0,0,0,0,0,0,0,7,7,0,"1,376",6,0,6,0,0,6,0,0,0,0,1,812,0,0,1,"1,307",6,62,1,"3,584","3,584",0,13,13
,Other,,0,1,26,0,83,254,334,0,17,17,0,2,65,0,57,749,0,802,2,0,0,59,7,"1,425",0,0,6,"1,343",34,253,19,"4,389","4,389",0,16,16
Total,,,"11,979","1,602","15,128",0,"3,267","35,189","38,456",0,"7,201","7,201",0,"8,570","2,856",0,"12,262","30,128",0,"42,390",759,0,0,"17,133","5,822","74,034",0,0,"1,230","95,619","3,166","10,868","1,891","326,725","338,705",44,"1,197","1,241"
