Table 51. Stocks of Crude Oil and Petroleum Products by PAD District,
July 2004
(Thousand Barrels)               
--------------------------------------------------------------------------------
                                  Petroleum Administration for Defense Districts
                                 -----------------------------------------------
  Commodity                                               I        II       III
  Natural Gas Processing Plant                            68        27     1,179                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Liquefied Petroleum Gases                              1,387     3,996   111,040                                                                                                                                                                                                                                                                                                                                
  Refinery                                               332     1,420    18,996                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                          190     2,353    62,345                                                                                                                                                                                                                                                                                                                                
  Pipeline                                               734         0    25,226                                                                                                                                                                                                                                                                                                                                
  Natural Gas Processing Plant                           131       223     4,473                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
  Ethane/Ethylene                                        324         1    19,729                                                                                                                                                                                                                                                                                                                                
  Refinery                                                 0         0        57                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                            0         0    12,963                                                                                                                                                                                                                                                                                                                                
  Pipeline                                               323         0     5,488                                                                                                                                                                                                                                                                                                                                
  Natural Gas Processing Plant                             1         1     1,221                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
  Propane/Propylene                                      595     1,740    50,602                                                                                                                                                                                                                                                                                                                                
  Refinery                                               121       132     4,778                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                          188     1,471    31,532                                                                                                                                                                                                                                                                                                                                
  Pipeline                                               222         0    12,815                                                                                                                                                                                                                                                                                                                                
  Natural Gas Processing Plant                            64       137     1,477                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
  Normal Butane/Butylene                                 320     1,755    33,933                                                                                                                                                                                                                                                                                                                                
  Refinery                                               145       878    11,939                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                            2       822    15,446                                                                                                                                                                                                                                                                                                                                
  Pipeline                                               120         0     5,238                                                                                                                                                                                                                                                                                                                                
  Natural Gas Processing Plant                            53        55     1,310                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
  Isobutane/Isobutylene                                  148       500     6,776                                                                                                                                                                                                                                                                                                                                
  Refinery                                                66       410     2,222                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                            0        60     2,404                                                                                                                                                                                                                                                                                                                                
  Pipeline                                                69         0     1,685                                                                                                                                                                                                                                                                                                                                
  Natural Gas Processing Plant                            13        30       465                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Other Hydrocarbons/Hydrogen/Oxygenates                    87     1,932     8,833                                                                                                                                                                                                                                                                                                                                
  Refinery                                                33        29     1,927                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                           53     1,707     6,709                                                                                                                                                                                                                                                                                                                                
  Pipeline                                                 1       196       197                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
  Other Hydrocarbons/Hydrogen                              0         5        25                                                                                                                                                                                                                                                                                                                                
  Refinery                                                 0         5        25                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
  Fuel Ethanol                                            87     1,902     5,554                                                                                                                                                                                                                                                                                                                                
  Refinery                                                 W         W       101                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal(b)                                         W         W         W                                                                                                                                                                                                                                                                                                                                
  Pipeline                                                 W         W         W                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
  ETBE                                                     W         W         W                                                                                                                                                                                                                                                                                                                                
  Refinery                                                 W         W         W                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal(b)                                         W         W         W                                                                                                                                                                                                                                                                                                                                
  Pipeline                                                 W         W         W                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
  Methanol                                                 W         W         0                                                                                                                                                                                                                                                                                                                                
  Refinery                                                 W         W         0                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
  MTBE                                                     W        25     3,096                                                                                                                                                                                                                                                                                                                                
  Refinery                                                 W         0     1,799                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal(b)                                         W         0     1,272                                                                                                                                                                                                                                                                                                                                
  Pipeline                                                 W        25        25                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
  Other Oxygenates(c)                                      W         W         W                                                                                                                                                                                                                                                                                                                                
  Refinery                                                 W         W         W                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal(b)                                         W         W         W                                                                                                                                                                                                                                                                                                                                
  Pipeline                                                 W         W         W                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Unfinished Oils                                        2,749    20,234    90,378                                                                                                                                                                                                                                                                                                                                
  Refinery                                                                                                                                                                                                                                                                                                                                                                                                      
  Naphthas and Lighter                                   504     4,032    22,930                                                                                                                                                                                                                                                                                                                                
  Kerosene and Light Gas Oils                            367     3,455    14,982                                                                                                                                                                                                                                                                                                                                
  Heavy Gas Oils                                       1,269     9,668    36,394                                                                                                                                                                                                                                                                                                                                
  Residuum                                               609     3,079    16,072                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Motor Gasoline Blending Components                     1,558    21,676    71,993                                                                                                                                                                                                                                                                                                                                
  Refinery                                             1,401    13,154    40,286                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                          157     6,378    23,233                                                                                                                                                                                                                                                                                                                                
  Pipeline                                                 0     2,144     8,474                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Aviation Gasoline Blending Components                      0         0       193                                                                                                                                                                                                                                                                                                                                
  Refinery                                                 0         0       193                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Finished Motor Gasoline                                4,678    10,051   141,828                                                                                                                                                                                                                                                                                                                                
  Refinery                                             1,738     3,246    29,738                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                        1,155     4,841    60,605                                                                                                                                                                                                                                                                                                                                
  Pipeline                                             1,785     1,964    51,485                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
  Reformulated                                             0     1,722    23,864                                                                                                                                                                                                                                                                                                                                
  Refinery                                                 0       338     5,441                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                            0       708    11,869                                                                                                                                                                                                                                                                                                                                
  Pipeline                                                 0       676     6,554                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
  Oxygenated                                               0         0         0                                                                                                                                                                                                                                                                                                                                
  Refinery                                                 0         0         0                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                            0         0         0                                                                                                                                                                                                                                                                                                                                
  Pipeline                                                 0         0         0                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
  Other                                                4,678     8,329   117,964                                                                                                                                                                                                                                                                                                                                
  Refinery                                             1,738     2,908    24,297                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                        1,155     4,133    48,736                                                                                                                                                                                                                                                                                                                                
  Pipeline                                             1,785     1,288    44,931                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Finished Aviation Gasoline                                18       304     1,223                                                                                                                                                                                                                                                                                                                                
  Refinery                                                17       179       623                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                            1       125       548                                                                                                                                                                                                                                                                                                                                
  Pipeline                                                 0         0        52                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Naphtha-Type Jet Fuel                                      0         0         0                                                                                                                                                                                                                                                                                                                                
  Refinery                                                 0         0         0                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                            0         0         0                                                                                                                                                                                                                                                                                                                                
  Pipeline                                                 0         0         0                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Kerosene-Type Jet Fuel                                   645     8,281    40,726                                                                                                                                                                                                                                                                                                                                
  Refinery                                               289     3,361    12,534                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                          157     3,252    11,546                                                                                                                                                                                                                                                                                                                                
  Pipeline                                               199     1,668    16,646                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Kerosene                                                  66        92     3,268                                                                                                                                                                                                                                                                                                                                
  Refinery                                                45        77     1,192                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                            0         8     1,995                                                                                                                                                                                                                                                                                                                                
  Pipeline                                                21         7        81                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Distillate Fuel Oil(e)                                 2,700    11,103   121,408                                                                                                                                                                                                                                                                                                                                
  Refinery                                             1,276     4,862    31,584                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                          459     4,223    57,623                                                                                                                                                                                                                                                                                                                                
  Pipeline                                               965     2,018    32,201                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
  0.05 Percent Sulfur and Under                        2,198     9,165    74,363                                                                                                                                                                                                                                                                                                                                
  Refinery                                               837     3,819    20,843                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                          425     3,449    29,494                                                                                                                                                                                                                                                                                                                                
  Pipeline                                               936     1,897    24,026                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
  Greater than 0.05 Percent Sulfur                       502     1,938    47,045                                                                                                                                                                                                                                                                                                                                
  Refinery                                               439     1,043    10,741                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                           34       774    28,129                                                                                                                                                                                                                                                                                                                                
  Pipeline                                                29       121     8,175                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Residual Fuel Oil(d)                                     334     5,970    34,730                                                                                                                                                                                                                                                                                                                                
  Refinery                                               334     2,775    11,661                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                            0     3,083    22,957                                                                                                                                                                                                                                                                                                                                
  Pipeline                                                 0       112       112                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
  Less than 0.31% Sulfur                                  11       234     4,294                                                                                                                                                                                                                                                                                                                                
  Refinery                                                11       191       731                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                            0        43     3,563                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
  0.31 to 1.00% Sulfur                                    64     1,772    11,272                                                                                                                                                                                                                                                                                                                                
  Refinery                                                64     1,103     3,649                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                            0       669     7,623                                                                                                                                                                                                                                                                                                                                
