Date,2007,2008,2009,2010,2011,MAX,MIN,Difference
10-May,14129.56,19934.616,17607.49,12970.24,28108.297,19934.616,12970.24,6964.376
11-May,13123.225,20120.842,16437.22,12423.98,27762.981,20120.842,12423.98,7696.862
12-May,14587.193,19214.002,15340.75,12001.03,25968.031,19214.002,12001.03,7212.972
13-May,15836.003,17356.998,14360.75,13247.954,25034.391,17356.998,13247.954,4109.044
14-May,14323.633,17897.063,14019.341,14284.32,24338.46,17897.063,14019.341,3877.722
15-May,12671.259,16850.768,13734.653,13987.4,24789.272,16850.768,12671.259,4179.509
16-May,12265.018,15738.73,14641.42,15664.15,24461.86,15738.73,12265.018,3473.712
17-May,12281.969,14679.316,15081.147,15240.779,25665.95,15240.779,12281.969,2958.81
18-May,11925.318,14588.542,14352.18,14550.246,24915.414,14588.542,11925.318,2663.224
19-May,15509.115,14888.34,14424.63,13938.384,24460.887,15509.115,13938.384,1570.731
20-May,15646.55,12178.486,14406.74,12626.8,22574.765,15646.55,12178.486,3468.064
21-May,13805.393,11406.85,12560.87,10291.892,23044.233,13805.393,10291.892,3513.501
22-May,13521.136,11452.4,12310.014,9945.33,25006.211,13521.136,9945.33,3575.806
23-May,13146.364,10408.298,12508.814,11763.44,24724.852,13146.364,10408.298,2738.066
24-May,13257.598,11175.36,12302.031,13514.944,25246.036,13514.944,11175.36,2339.584
25-May,12813.918,12705.608,11271.68,11367.104,23764.752,12813.918,11271.68,1542.238
26-May,12078.812,11762.248,10093.11,10213.14,20899.153,12078.812,10093.11,1985.702
27-May,12625.098,10494.062,9531.69,9278.107,18856.734,12625.098,9278.107,3346.991
28-May,10682.058,9304.824,8410.94,8893.671,19621.311,10682.058,8410.94,2271.118
29-May,11248.466,8719.761,9046.356,9111.634,20123.04,11248.466,8719.761,2528.705
30-May,12584.426,8142.506,9567.724,9746.825,21383.43,12584.426,8142.506,4441.92
31-May,11470.998,7565.446,9849.916,9426.644,20479.24,11470.998,7565.446,3905.552
1-Jun,9588.367,8071.526,9010.084,8490.682,19656.393,9588.367,8071.526,1516.841
2-Jun,7880.976,8862.236,6583.433,7665.656,17658.64,8862.236,6583.433,2278.803
3-Jun,6079.315,8484.738,6001.233,8169.23,15459.343,8484.738,6001.233,2483.505
4-Jun,5132.307,7678.028,5712.83,7995.33,16622.206,7995.33,5132.307,2863.023
5-Jun,5025.717,6789.568,5625.496,6866.45,16967.555,6866.45,5025.717,1840.733
6-Jun,5336.622,6272.184,5515.42,9261.945,16573.946,9261.945,5336.622,3925.323
7-Jun,5568.212,8290.02,6668.124,8524.066,14897.06,8524.066,5568.212,2955.854
