"Area","Product","October_2016","November_2016","YTD_2015","YTD_2016","PctChgMonthAgo","PctChgYearAgo","PctChg_YTD"
"Vermont","Kerosene-Type Jet Fu",1060,702,8838,9589,-31.6,-12.9,8.2
"Vermont","Kerosene",125,241,"W",2075,99.2,-41.8,"NA"
"Vermont","Propane",5008,8773,88648,77911,81.0,11.8,-12.4
"Vermont","Residual Fuel Oil","W","W","W","W","W","W","NA"
"Vermont","Sulfur Content  <= 1","W","W","W","W","W","W","NA"
"Vermont","Sulfur Content  > 1","W","-","W","W","-","-","NA"
"Subdistrict 1B","Motor Gasoline",1303813,1263495,13781435,14071256,0.1,2.4,1.8
"Subdistrict 1B","Regular",1117341,1085175,11809894,12010511,0.4,2.5,1.4
"Subdistrict 1B","Conventional",361542,355190,3760878,3866937,1.5,5.9,2.5
"Subdistrict 1B","Reformulated",755799,729985,8049016,8143574,-0.2,0.9,0.9
"Subdistrict 1B","Midgrade",22532,21560,264318,256739,-1.1,-2.6,-3.2
"Subdistrict 1B","Conventional",5487,5186,62124,60834,-2.3,-2.3,-2.4
"Subdistrict 1B","Reformulated",17045,16374,202194,195905,-0.7,-2.7,-3.4
"Subdistrict 1B","Premium",163940,156760,1707223,1804006,-1.2,2.6,5.4
"Subdistrict 1B","Conventional",30572,29083,318853,346388,-1.7,5.9,8.3
"Subdistrict 1B","Reformulated",133368,127677,1388370,1457618,-1.1,1.8,4.7
"Subdistrict 1B","Total Distillate","W","W","W","W","W","W","W"
"Subdistrict 1B","No. 1 Distillate","W","W","W","W","W","W","NA"
"Subdistrict 1B","No. 2 Distillate",514536,543740,5936941,5720318,9.2,4.1,-3.9
"Subdistrict 1B","No. 2 Fuel Oil",103301,124664,1344659,1269652,24.7,-2.2,-5.9
"Subdistrict 1B","No. 2 Diesel Fuel","NA","NA","NA","NA","NA","NA","NA"
"Subdistrict 1B","Ultra Low Sulfur",406133,415355,"W","W",5.7,,"NA"
"Subdistrict 1B","Low Sulfur","-","-","W","W","-","-","NA"
"Subdistrict 1B","High Sulfur",5102,3721,"W",48307,-24.6,12.3,"NA"
"Subdistrict 1B","No. 4 Fuel","W","W","W","W","W","W","NA"
"Subdistrict 1B","Aviation Gasoline",785,758,9783,8950,-0.2,-5.5,-8.8
"Subdistrict 1B","Kerosene-Type Jet Fu",249459,244081,2798325,2704452,1.1,0.7,-3.6
"Subdistrict 1B","Kerosene",4103,4483,"W","W",12.9,-18.0,"NA"
"Subdistrict 1B","Propane",62716,81098,947272,804459,33.6,9.6,-15.3
"Subdistrict 1B","Residual Fuel Oil",82449,80227,895262,909270,0.5,10.3,1.3
"Subdistrict 1B","Sulfur Content  <= 1",20097,12555,218450,"W",-35.4,-48.8,"NA"
"Subdistrict 1B","Sulfur Content  > 1",62352,67672,676812,"W",12.1,40.3,"NA"
"Delaware","Motor Gasoline",39776,37493,413769,417649,-2.6,13.1,0.6
"Delaware","Regular",35099,32961,367630,368604,-3.0,12.4,0.0
"Delaware","Conventional","-","-","-","-","-","-","-"
"Delaware","Reformulated",35099,32961,367630,368604,-3.0,12.4,0.0
"Delaware","Midgrade",412,420,5315,5593,5.3,6.3,4.9
"Delaware","Conventional","-","-","-","-","-","-","-"
"Delaware","Reformulated",412,420,5315,5593,5.3,6.3,4.9
"Delaware","Premium",4265,4112,40824,43452,-0.4,19.9,6.1
"Delaware","Conventional","-","-","-","-","-","-","-"
"Delaware","Reformulated",4265,4112,40824,43452,-0.4,19.9,6.1
"Delaware","Total Distillate","W","W","W","W","W","W","W"
"Delaware","No. 1 Distillate","-","-","-","-","-","-","-"
"Delaware","No. 2 Distillate",9482,"W","W","W",,"W","NA"
"Delaware","No. 2 Fuel Oil","W","W","W","W","W","W","NA"
"Delaware","No. 2 Diesel Fuel","NA","NA","NA","NA","NA","NA","NA"
"Delaware","Ultra Low Sulfur",7431,8796,"W","W",22.3,25.5,"NA"
"Delaware","Low Sulfur","-","-","-","-","-","-","-"
"Delaware","High Sulfur","W","W","W","W","W","W","NA"
"Delaware","No. 4 Fuel","-","-","-","-","-","-","-"
"Delaware","Aviation Gasoline",34,"W","W","W",,"W","NA"
"Delaware","Kerosene-Type Jet Fu","W","W","W","W","W","W","NA"
"Delaware","Kerosene",80,"W","W","W",,"W","NA"
"Delaware","Propane","W","W","W","W","W","W","NA"
"Delaware","Residual Fuel Oil","W","W","W","W","W","W","NA"
"Delaware","Sulfur Content  <= 1","W","W","W","W","W","W","NA"
"Delaware","Sulfur Content  > 1","W","W","W","W","W","W","NA"
"District of Columbia","Motor Gasoline",5818,5751,63391,63295,2.1,5.0,-0.4
"District of Columbia","Regular",4551,4504,48635,49238,2.3,7.6,0.9
"District of Columbia","Conventional","-","-","-","-","-","-","-"
"District of Columbia","Reformulated",4551,4504,48635,49238,2.3,7.6,0.9
"District of Columbia","Midgrade",252,212,3045,2560,-13.1,-19.4,-16.2
"District of Columbia","Conventional","-","-","-","-","-","-","-"
"District of Columbia","Reformulated",252,212,3045,2560,-13.1,-19.4,-16.2
"District of Columbia","Premium",1015,1035,11711,11497,5.4,0.5,-2.1
"District of Columbia","Conventional","-","-","-","-","-","-","-"
"District of Columbia","Reformulated",1015,1035,11711,11497,5.4,0.5,-2.1
"District of Columbia","Total Distillate","W","W","W","W","W","W","W"
"District of Columbia","No. 1 Distillate","-","-","-","-","-","-","-"
"District of Columbia","No. 2 Distillate",1413,1396,"W","W",2.1,4.8,"NA"
"District of Columbia","No. 2 Fuel Oil","W","W","W","W","W","W","NA"
"District of Columbia","No. 2 Diesel Fuel","NA","NA","NA","NA","NA","NA","NA"
"District of Columbia","Ultra Low Sulfur","W","W","W","W","W","W","NA"
"District of Columbia","Low Sulfur","-","-","-","-","-","-","-"
"District of Columbia","High Sulfur","-","-","-","-","-","-","-"
"District of Columbia","No. 4 Fuel","-","-","-","-","-","-","-"
"District of Columbia","Aviation Gasoline","-","-","-","-","-","-","-"
"District of Columbia","Kerosene-Type Jet Fu","W","W","W","W","W","W","NA"
"District of Columbia","Kerosene","-","-","W","W","-","-","NA"
"District of Columbia","Propane","W","W","W","W","W","W","NA"
"District of Columbia","Residual Fuel Oil","-","-","-","-","-","-","-"
"District of Columbia","Sulfur Content  <= 1","-","-","-","-","-","-","-"
"District of Columbia","Sulfur Content  > 1","-","-","-","-","-","-","-"
"Maryland","Motor Gasoline",176206,175228,1914691,1916315,2.8,2.6,-0.2
"Maryland","Regular",148843,148449,1620172,1618113,3.1,2.3,-0.4
"Maryland","Conventional",17004,14776,164160,171715,-10.2,20.3,4.3
"Maryland","Reformulated",131839,133673,1456012,1446398,4.8,0.7,-1.0
"Maryland","Midgrade",2690,2719,36465,31450,4.4,-10.3,-14.0
"Maryland","Conventional",205,128,1712,1733,-35.5,15.3,0.9
"Maryland","Reformulated",2485,2591,34753,29717,7.7,-11.3,-14.7
"Maryland","Premium",24673,24060,258054,266752,0.8,6.3,3.1
"Maryland","Conventional",1105,943,13378,13372,-11.8,8.1,-0.3
"Maryland","Reformulated",23568,23117,244676,253380,1.4,6.2,3.2
"Maryland","Total Distillate","W","W","W","W","W","W","W"
"Maryland","No. 1 Distillate","-","-","W","W","-","-","NA"
"Maryland","No. 2 Distillate",58694,"W","W","W",,"W","NA"
"Maryland","No. 2 Fuel Oil",7034,7176,"W",80504,5.4,-20.5,"NA"
"Maryland","No. 2 Diesel Fuel","NA","NA","NA","NA","NA","NA","NA"
"Maryland","Ultra Low Sulfur",51660,48440,"W","W",-3.1,,"NA"
"Maryland","Low Sulfur","-","-","-","-","-","-","-"
"Maryland","High Sulfur","-","W","W","W","W","W","NA"
"Maryland","No. 4 Fuel","-","-","-","-","-","-","-"
"Maryland","Aviation Gasoline",114,"W","W","W",,"W","NA"
"Maryland","Kerosene-Type Jet Fu",5526,4255,49283,51441,-20.4,0.5,4.1
"Maryland","Kerosene",296,"W","W","W",,"W","NA"
"Maryland","Propane",7835,8967,106273,91559,18.3,5.3,-14.1
"Maryland","Residual Fuel Oil","-","-","W","W","-","-","NA"
"Maryland","Sulfur Content  <= 1","-","-","-","W","-","-","NA"
"Maryland","Sulfur Content  > 1","-","-","W","W","-","-","NA"
"New Jersey","Motor Gasoline",341422,301580,3618810,3685505,-8.7,-10.9,1.5
"New Jersey","Regular",293200,259623,3098412,3143385,-8.5,-11.1,1.1
"New Jersey","Conventional","-","-","-","-","-","-","-"
"New Jersey","Reformulated",293200,259623,3098412,3143385,-8.5,-11.1,1.1
"New Jersey","Midgrade",4535,4024,57274,53999,-8.3,-6.1,-6.0
"New Jersey","Conventional","-","-","-","-","-","-","-"
"New Jersey","Reformulated",4535,4024,57274,53999,-8.3,-6.1,-6.0
"New Jersey","Premium",43687,37933,463124,488121,-10.3,-10.6,5.1
